"ID";"DeviceID";"Date";"Technician";"PrimaryServiceText";"SecondaryServiceText"
"537";"4601";"2021-05-11";"KG";"Udskiftning af label(knap ""6"" defekt)
Udskiftning af potmeter.
Afprøvet.";
"538";"4507";"2021-05-11";"KG";"Udskiftning af display.
Afprøvet.";
"539";"5911";"2021-05-12";"KG";"Udskiftning af display.
Udskiftning af batteri.
Afprøvet.";
"540";"2434";"2021-05-18";"KG";"Udskiftning af display.
Afprøvet.";
"541";"6294";"2021-06-01";"KG";"Udskiftning af display.
Udskiftning af batteri.
Afprøvet.";
"542";"22861";"2021-06-03";"KG";"Udskiftning af Potmeter.
Udskiftning af print.
Udskiftning af label.
Afprøvet.";
"543";"17944";"2021-06-03";"KG";"Efterset, ingen fejl fundet.";"Kunden siger at den dør lige pludselig.
Vi kan ikke se fejlen"
"544";"903";"2021-06-14";"KG";"Udskiftning af label(fugtskade)
Udskiftning af potmeter(leveret af GMV)
Afprøvet.";
"545";"1108";"2021-06-30";"KG";"Udskiftning af antennekabel i fjernbetjening.
Afprøvet.";
"546";"2725";"2021-07-01";"KG";"Udskiftning af label(fugtskade)
Print renset for ir.
Udskiftning af potmeter(leveret af GMV)
Afprøvet.";
"547";"2974";"2021-07-01";"KG";"Udskiftning af label(fugtskade)
Udskiftning af potmeter(leveret af GMV)
Afprøvet.";
